Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
Chevrolet,Silverado 1500 2WD,2001,Regular,Y,15,592.4666666666667,5.3
Toyota,Sienna 2WD,2001,Regular,Y,19,467.7368421052632,3.0
Mitsubishi,Eclipse Spyder,2003,Premium,Y,21,423.1904761904762,3.0
Hyundai,Santa Fe 4WD,2003,Regular,Y,17,522.7647058823529,3.5
Audi,A4 Avant quattro,2004,Premium,Y,22,403.95454545454544,1.8
GMC,Envoy 4WD,2004,Regular,Y,16,555.4375,4.2
GMC,Yukon 1500 4WD,2004,Regular,Y,14,634.7857142857143,5.3
Ford,E150 Econoline 2WD,2000,Regular,Y,14,634.7857142857143,4.2
Acura,3.2CL,2001,Premium,Y,20,444.35,3.2
Lincoln,LS,2002,Premium,Y,18,493.72222222222223,3.0
Jeep,Grand Cherokee 4WD,2000,Regular,Y,15,592.4666666666667,4.7
Mitsubishi,Montero,2001,Premium,Y,14,634.7857142857143,3.5
Ford,Explorer Sport Trac 2WD,2003,Regular,Y,17,522.7647058823529,4.0
Mazda,CX-9 4WD,2018,Regular,Y,23,391.0,2.5
Suzuki,Swift x,2010,Regular,Y,26,341.8076923076923,1.6
Volkswagen,Beetle Convertible,2013,Diesel,Y,30,335.0,2.0
Cadillac,ATS,2013,Regular,Y,24,366.0,2.0
Chevrolet,TrailBlazer Ext 4WD,2003,Regular,Y,15,592.4666666666667,4.2
Chevrolet,Tahoe 1500 4WD,2006,Regular,Y,15,592.4666666666667,5.3
BMW,335i,2007,Premium,Y,20,444.35,3.0
Toyota,RAV4 2WD,2008,Regular,Y,24,370.2916666666667,2.4
Kia,Borrego 4WD,2009,Regular,Y,18,493.72222222222223,3.8
Ford,Escort ZX2,2000,Regular,Y,25,355.48,2.0
Kia,Forte,2017,Regular,Y,32,301.0,2.0
Kia,Niro,2021,Regular,Y,49,183.0,1.6
Genesis,GV70 AWD,2022,Premium,Y,21,428.0,3.5
Honda,Insight,2022,Regular,Y,52,170.0,1.5
Hyundai,Elantra,2022,Regular,Y,35,257.0,2.0
Toyota,Camry Hybrid LE,2022,Regular,Y,52,170.0,2.5
Chevrolet,Aveo,2011,Regular,Y,28,317.39285714285717,1.6
Ford,F150 Pickup 2WD FFV,2011,Gasoline or E85,Y,17,522.7647058823529,5.0
Toyota,Corolla,2013,Regular,Y,29,301.0,1.8
Jeep,Grand Cherokee 4WD,2014,Midgrade,Y,16,558.0,5.7
Mercury,Mountaineer 2WD,2003,Regular,Y,15,592.4666666666667,4.6
Toyota,Highlander 2WD,2003,Regular,Y,18,493.72222222222223,3.0
Subaru,Forester AWD,2004,Regular,Y,21,423.1904761904762,2.5
Isuzu,Ascender 7-passenger 4WD,2006,Regular,Y,15,592.4666666666667,5.3
Toyota,Tundra 4WD,2009,Regular,Y,14,634.7857142857143,5.7
Toyota,RAV4 Hybrid AWD,2017,Regular,Y,32,275.0,2.5
Chevrolet,Equinox FWD,2012,Gasoline or E85,Y,20,444.35,3.0
Mitsubishi,Outlander Sport 4WD,2015,Regular,Y,27,330.0,2.0
Dodge,Ram 1500 Pickup 2WD,2001,Regular,Y,15,592.4666666666667,3.9
Ford,Explorer 4WD FFV,2002,Gasoline or E85,Y,16,555.4375,4.0
Lexus,GX 470,2007,Premium,Y,15,592.4666666666667,4.7
Mitsubishi,Galant,2008,Regular,Y,23,386.39130434782606,2.4
Nissan,Altima Hybrid,2009,Regular,Y,34,261.38235294117646,2.5
Toyota,Corolla,2010,Regular,Y,25,355.48,2.4
Honda,Accord,2016,Regular,Y,25,350.0,3.5
Dodge,Dakota Pickup 2WD,2004,Regular,Y,15,592.4666666666667,4.7
Audi,A4,2007,Premium,Y,24,370.2916666666667,2.0
Audi,S5 Cabriolet,2015,Premium,Y,21,428.0,3.0
GMC,Yukon XL 1500 4WD,2004,Regular,Y,14,634.7857142857143,5.3
Toyota,Camry,2005,Regular,Y,25,355.48,2.4
Toyota,Camry,2005,Regular,Y,21,423.1904761904762,3.0
Audi,A6 quattro,2006,Premium,Y,18,493.72222222222223,4.2
Dodge,Stratus 4 Door,2006,Gasoline or E85,Y,21,423.1904761904762,2.7
Chrysler,Sebring,2007,Regular,Y,24,370.2916666666667,2.4
Dodge,Ram 1500 Pickup 4WD,2007,Gasoline or E85,Y,14,634.7857142857143,4.7
Lexus,IS 250/IS 250C,2010,Premium,Y,24,370.2916666666667,2.5
Mazda,MX-5,2012,Premium,Y,23,386.39130434782606,2.0
Ford,F150 Pickup 2WD FFV,2012,Gasoline or E85,Y,19,467.7368421052632,3.7
Acura,MDX 4WD,2014,Premium,Y,21,418.0,3.5
Subaru,Forester AWD,2021,Regular,Y,29,309.0,2.5
Toyota,RAV4 Hybrid  AWD,2021,Regular,Y,40,223.0,2.5
Toyota,RAV4 AWD,2014,Regular,Y,25,357.0,2.5
Toyota,4Runner 2WD,2003,Regular,Y,18,493.72222222222223,4.0
